CUSTOMER_SK,NO_OF_PRODUCT,DISTINCT_PRODUCT,TOTAL_REVENUE,NO_OF_VISIT,AVERAGE_PRICE,PERCENTAGE_BASKETS_WEEKEND
22746387,463,259,2291.31962,34,4.755557422,3.7059
60915693,523,361,2282.97963,38,3.983502268,4.0526
28181258,624,341,2282.96981,57,3.425881278,2.6491
60674740,597,205,2282.62968,27,3.639542945,1.1111
62370973,545,293,2277.74961,36,3.977189275,2.6667
20771796,523,340,2276.27961,35,4.019226727,3.3714
59984800,524,234,2267.4397,80,3.867458247,2.0875
58304871,524,292,2261.93953,58,3.563690419,1.9138
60451034,555,200,2253.06964,30,3.683103329,2.4333
39307935,458,298,2250.92947,16,4.012418806,3.375
58997375,521,298,2249.86968,47,3.905953237,5.0426
22211953,476,281,2247.36965,66,4.068737682,2.3636
59016692,495,300,2244.75961,53,4.058081656,0.9245
58910536,509,301,2243.34968,30,3.957361476,2.2
22114727,500,353,2243.28965,19,3.896015599,13.3684
60616860,511,291,2237.98968,19,3.941856424,4.3684
22208939,491,265,2225.12967,28,4.030053748,14.9643
62396030,555,292,2224.42963,42,3.871868652,5.4048
21432198,473,242,2224.25966,60,4.302194619,0.9333
37702347,537,258,2220.49971,56,3.788098755,2.7321
22284372,486,266,2220.48943,25,3.920018705,0
39649111,536,395,2219.56973,25,4.135186752,4.04
58870891,741,401,2219.11995,130,2.923487042,1.5077
53325366,592,303,2218.2997,42,3.318158555,8.381
58353292,555,209,2211.31982,52,3.763712144,2
59087787,434,251,2206.89943,32,4.162183886,4.9063
61353661,514,235,2199.26975,59,3.227060919,2.4068
59981468,587,251,2197.49976,96,3.581050205,2.0625
20788623,475,230,2196.19965,41,3.910183093,2.7561
60549933,466,300,2191.94958,39,3.363743524,3.4103
37143504,458,157,2190.39973,21,4.085747409,18.8571
39745841,500,179,2186.4498,24,3.945096518,9.5417
59026858,500,387,2181.84958,33,4.068905368,4.0909
58872376,493,281,2178.10962,51,3.847698045,6.7255
59567703,793,270,2177.24989,120,2.387577312,1.6917
21384385,455,275,2175.34968,21,4.447028769,3.1429
58642267,529,246,2174.98975,119,3.715844057,0.7731
